Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
Regression,,,2018-09-29 19:55:24,2018-09-29 19:58:06,"2m - 42,117s",PASSED
,,,,,,
Test Cases/Bookmate/Email login,,Авторизация по почте,2018-09-29 19:55:25,2018-09-29 19:56:20,"54,539s",PASSED
startApplication,,,2018-09-29 19:55:26,2018-09-29 19:55:49,"22,669s",PASSED
tap,,,2018-09-29 19:55:49,2018-09-29 19:55:50,"1,110s",PASSED
tap,,,2018-09-29 19:55:50,2018-09-29 19:55:51,"1,356s",PASSED
tap,,,2018-09-29 19:55:51,2018-09-29 19:55:53,"1,351s",PASSED
tap,,,2018-09-29 19:55:53,2018-09-29 19:55:54,"1,286s",PASSED
tap,,,2018-09-29 19:55:54,2018-09-29 19:55:55,"1,692s",PASSED
setText,,,2018-09-29 19:55:55,2018-09-29 19:56:06,"10,670s",PASSED
tap,,,2018-09-29 19:56:06,2018-09-29 19:56:07,"0,789s",PASSED
setText,,,2018-09-29 19:56:07,2018-09-29 19:56:19,"11,868s",PASSED
tap,,,2018-09-29 19:56:19,2018-09-29 19:56:20,"0,839s",PASSED
,,,,,,
Test Cases/Bookmate/Impression create,,,2018-09-29 19:56:20,2018-09-29 19:57:08,"48,756s",PASSED
startApplication,,,2018-09-29 19:56:20,2018-09-29 19:56:33,"12,715s",PASSED
tapAndHold,,,2018-09-29 19:56:33,2018-09-29 19:56:37,"4,285s",PASSED
tap,,,2018-09-29 19:56:37,2018-09-29 19:56:39,"1,859s",PASSED
tap,,,2018-09-29 19:56:39,2018-09-29 19:56:41,"2,255s",PASSED
setText,,,2018-09-29 19:56:41,2018-09-29 19:56:53,"11,729s",PASSED
tap,,,2018-09-29 19:56:53,2018-09-29 19:56:54,"1,220s",PASSED
tap,,,2018-09-29 19:56:54,2018-09-29 19:56:56,"1,306s",PASSED
tap,,,2018-09-29 19:56:56,2018-09-29 19:56:57,"1,190s",PASSED
pressBack,,,2018-09-29 19:56:57,2018-09-29 19:56:58,"0,919s",PASSED
tap,,,2018-09-29 19:56:58,2018-09-29 19:57:00,"2,472s",PASSED
tap,,,2018-09-29 19:57:00,2018-09-29 19:57:01,"1,018s",PASSED
tap,,,2018-09-29 19:57:01,2018-09-29 19:57:03,"1,366s",PASSED
tap,,,2018-09-29 19:57:03,2018-09-29 19:57:03,"0,941s",PASSED
pressBack,,,2018-09-29 19:57:04,2018-09-29 19:57:04,"0,811s",PASSED
closeApplication,,,2018-09-29 19:57:04,2018-09-29 19:57:08,"4,111s",PASSED
,,,,,,
Test Cases/Bookmate/Quote create,,,2018-09-29 19:57:08,2018-09-29 19:58:06,"57,831s",PASSED
startApplication,,,2018-09-29 19:57:09,2018-09-29 19:57:28,"19,336s",PASSED
tap,,,2018-09-29 19:57:28,2018-09-29 19:57:35,"7,086s",PASSED
tapAndHold,,,2018-09-29 19:57:35,2018-09-29 19:57:53,"17,801s",PASSED
tap,,,2018-09-29 19:57:53,2018-09-29 19:57:55,"1,425s",PASSED
pressBack,,,2018-09-29 19:57:55,2018-09-29 19:57:55,"0,666s",PASSED
tap,,,2018-09-29 19:57:55,2018-09-29 19:57:58,"2,418s",PASSED
tap,,,2018-09-29 19:57:58,2018-09-29 19:57:59,"1,565s",PASSED
tap,,,2018-09-29 19:57:59,2018-09-29 19:58:01,"1,369s",PASSED
tap,,,2018-09-29 19:58:01,2018-09-29 19:58:01,"0,916s",PASSED
pressBack,,,2018-09-29 19:58:01,2018-09-29 19:58:03,"1,049s",PASSED
closeApplication,,,2018-09-29 19:58:03,2018-09-29 19:58:06,"3,750s",PASSED
